order_status,email_address,mailing_address,name_on_credit_card,credit_card_number,credit_card_expiration,credit_card_CVV,billing_zip_code
paid,katie@gmail.com,9522 West Ave.,Katie Vandervoort,12345,10/20,123,54321
complete,louie@gmail.co,736 Beechwood St.,Louie Vandervoort,12346,11/20,234,54322
paid,charlotte@gmail.com,89 Glenwood Court,Charlotte Adams,12347,12/20,345,54323
complete,mair@gmail.com,115 Old Roehampton Drive,Mair Heshmati,12348,1/21,456,54324
paid,yoyo@gmail.com,140 Fairview Lane,Yoyo Dunbar,12349,1/22,567,54325
paid,dee@gmail.com,9975 N. Manchester Street,Dee,12350,1/23,678,54326
complete,chris@gmail.com,82 West York St.,Chris,12351,1/24,789,54327
paid,jared@gmailcom,18 Longbranch Street,Jared,12352,1/25,890,54328
paid,becca@gmail.com,94 West Glendale Court,Becca,12353,1/20,432,54329
complete,devin@gmail.com,51 West Dr.,Devin,12354,7/20,321,54330
